"region","year","month","users percent"
"Northern America",2022,"10",76.1
"Central America",2022,"10",71.5
"Caribbean",2022,"10",52.1
"Southern America",2022,"10",74.9
"Northern Europe",2022,"10",83.7
"Western Europe",2022,"10",83.4
"Northern Africa",2022,"10",52.9
"Western Africa",2022,"10",14.1
"Middle Africa",2022,"10",8.3
"Southern Africa",2022,"10",43.3
"Southern Europe",2022,"10",76.2
"Western Asia",2022,"10",66.7
"Eastern Africa",2022,"10",9.4
"Eastern Europe",2022,"10",70.3
"Central Asia",2022,"10",30.3
"Southern Asia",2022,"10",32.9
"South-Eastern Asia",2022,"10",68.2
"Eastern Asia",2022,"10",72.3
"Oceania",2022,"10",62.3
"Global Average",2022,"10",59.3
